"PERS_ID","YM_in","YM_out"
340177047,200801,201605
340177083,200801,201111
340177087,200801,201501
340177089,200801,201312
340177241,200801,201308
340177275,201005,201305
340177407,201005,201410
340177421,200801,201207
340177423,200804,201206
340177437,200811,201204
340177443,200801,201409
340177667,200801,201203
340177811,200801,201107
340177989,200801,201305
340178017,200801,201304
340178019,200801,201208
340178193,200803,201406
340178209,200803,201305
340178221,201108,201508
340178271,200801,201605
340178307,200802,201403
340178405,200801,201508
340178413,201103,201407
340178481,200801,201411
340178505,200801,201806
340178517,200801,201303
340178673,201107,201506
340178685,200801,201107
340178689,200801,201105
340178705,200801,201207
340178775,200801,201406
340178805,200801,201612
340178853,201104,201504
340178895,200801,201103
340178899,200801,201112
340178943,200801,201203
340178945,200801,201504
340179017,200801,201405
340179121,200801,201112
340179139,200801,201601
340179145,200801,201303
340179147,200801,201310
340179149,200801,201306
340179171,200802,201202
340179173,200802,201403
340179175,200802,201403
340179177,200802,201111
340179179,200802,201403
340179181,200802,201111
340179183,200802,201110
340179237,200801,201303
340179271,200801,201711
340179281,200801,201804
340179283,200801,201804
340179307,200906,201504
340179475,200801,201205
340179551,200802,201309
340179567,200802,201104
340179619,200801,201101
340179627,200802,201407
340179641,200802,201112
340179671,200802,201407
340180129,200801,201208
340180131,200801,201102
340180249,200801,201801
340180253,200801,201307
340180259,200802,201203
340180305,200801,201411
340180431,200801,201307
340180607,200801,201311
340180627,200801,201303
340180651,200801,201410
340180655,200801,201105
340180657,200801,201105
340180673,200802,201102
340180683,200802,201606
340180723,200802,201409
340180767,200802,201407
340180837,200802,201409
340180867,200810,201207
340180913,200801,201405
340181279,200801,201105
340181457,200802,201509
340181525,200802,201603
340181569,200908,201507
340181577,200802,201103
340181681,200801,201310
340181689,200802,201310
340181709,200801,201306
340181711,200801,201503
340181713,200801,201503
340181881,200802,201110
340181919,200802,201306
340181941,200802,201310
340181951,201005,201312
340182011,200802,201306
340182021,200802,201312
340182035,200804,201202
340182099,201012,201401
340182119,200801,201610
340182139,200802,201204
340182159,200802,201202
340182161,200802,201311
340182207,200802,201208
340182209,200802,201208
340182275,200801,201306
340182357,200802,201411
340182361,200802,201310
340182461,200802,201302
340182589,200801,201708
340182591,200803,201201
340182657,200802,201308
340182689,200802,201505
340182715,200802,201306
340182753,200802,201508
340182771,200802,201201
340182805,200802,201305
340182955,200802,201306
340182957,200802,201306
340183045,200908,201312
340183203,200902,201312
340183223,200802,201202
340183399,200802,201103
340183415,200802,201105
340183465,200802,201305
340183489,200802,201209
340183507,200802,201307
340183509,200803,201602
340183563,200803,201203
340183577,200802,201106
340183625,200802,201102
340183649,200803,201406
340183663,200802,201205
340183671,200802,201407
340183697,200801,201107
340183699,200801,201107
340183727,200801,201304
340183767,200801,201308
512954789,201009,201408
512954791,201009,201709
512954903,200802,201310
512954979,200802,201201
512956155,200802,201309
512956231,200802,201304
512956291,200802,201403
512956631,200802,201410
512956703,200802,201510
512956761,200802,201110
512956765,200802,201110
512959097,200802,201109
512961003,200901,201206
512961617,200802,201306
512962609,201401,201802
512962719,200809,201203
512964369,200808,201403
512964383,200808,201403
512964435,200802,201401
512964545,200801,201202
512964851,200802,201402
512965785,200803,201110
512965797,200803,201303
512967217,201201,201804
512968221,200802,201310
512968867,200802,201210
512969445,200802,201302
512969483,200802,201402
512969485,200802,201402
512969513,200802,201201
512970539,200803,201505
512970777,200802,201306
512971347,200802,201307
512971349,200802,201307
512971473,200802,201311
512971501,200802,201207
512971595,200802,201306
512972869,200801,201312
512976159,200802,201307
512976429,200802,201112
512976669,200802,201305
512978769,200802,201305
512979049,200802,201208
512981053,200802,201507
