arrival_location_id,Nationality_norm
547082d0,southsudan
547082d0,yemen
547082d0,mali
547082d0,sudan
547082d0,centralafricanrepublic
547082d0,cambodia
547082d0,haiti
547082d0,moldova
547082d0,pakistan
547082d0,ivorycoast
547082d0,chad
547082d0,nepal
547082d0,vietnam
547082d0,venezuela
547082d0,colombia
547082d0,somalia
547082d0,ukraine
547082d0,iraq
547082d0,honduras
547082d0,eritrea
547082d0,burundi
547082d0,china
cdf929eb,palestine
cdf929eb,yemen
cdf929eb,haiti
cdf929eb,colombia
cdf929eb,afghanistan
cdf929eb,eritrea
cdf929eb,pakistan
cdf929eb,indonesia
cdf929eb,mali
cdf929eb,ethiopia
cdf929eb,ukraine
cdf929eb,russia
cdf929eb,cambodia
cdf929eb,cameroon
cdf929eb,somalia
cdf929eb,iran
cdf929eb,honduras
cdf929eb,centralafricanrepublic
cdf929eb,elsalvador
cdf929eb,sudan
cdf929eb,iraq
cdf929eb,burma
cdf929eb,burundi
cdf929eb,demrepcongo
cdf929eb,nepal
cdf929eb,vietnam
cdf929eb,ivorycoast
cdf929eb,moldova
cdf929eb,syria
cdf929eb,china
a61b01d3,russia
a61b01d3,burma
a61b01d3,eritrea
a61b01d3,venezuela
a61b01d3,elsalvador
a61b01d3,cameroon
a61b01d3,honduras
a61b01d3,southsudan
a61b01d3,burundi
a61b01d3,ivorycoast
0a91d577,guatemala
0a91d577,centralafricanrepublic
0a91d577,pakistan
0a91d577,mali
0a91d577,russia
0a91d577,colombia
0a91d577,indonesia
0a91d577,palestine
0a91d577,iraq
0a91d577,cambodia
0a91d577,sudan
0a91d577,venezuela
0a91d577,demrepcongo
0a91d577,burma
0a91d577,moldova
0a91d577,ivorycoast
0a91d577,ukraine
0a91d577,somalia
0a91d577,eritrea
0a91d577,cameroon
0a91d577,chad
0a91d577,vietnam
0a91d577,iran
0a91d577,yemen
0a91d577,elsalvador
0a91d577,honduras
0a91d577,haiti
0a91d577,nepal
0a91d577,china
0a91d577,syria
0a91d577,burundi
0a91d577,southsudan
