"PERS_ID","YM_start","YM_end"
129373133,200909,201007
129373133,201008,201010
129373133,201008,201206
129373133,201010,201401
129378021,201407,201609
129378021,201310,201609
129391687,201612,201612
129391945,200903,201009
129391945,201010,201101
129391945,201102,201209
129411617,201503,201610
129435755,201605,201806
129490565,201704,201706
129490583,201506,201506
129490583,201511,201709
129494067,200812,200812
129507973,200409,200702
129507973,200704,200706
129507973,200707,200805
129507973,200805,200812
129507973,200805,200903
129507973,200905,200908
129507973,200912,201008
129523733,200903,201005
129523733,201009,201101
129523733,201109,201109
129523733,201111,201211
129523733,201205,201211
129523733,201409,201502
129539221,200607,200607
129539221,200609,201111
129584577,200009,200009
129584577,200010,200112
129584577,200308,200309
129631241,201401,201412
129631241,201709,201710
129655769,200112,200112
129655769,200902,200902
129655769,200902,201011
129655769,201011,201111
129657629,201307,201409
129758763,201510,201607
129758763,201305,201510
129761553,201608,201704
129767807,200406,200406
129787075,200103,200203
129787075,200204,200207
129787075,200207,200212
129787075,200312,200406
129815173,201307,201406
129815173,201305,201411
129815173,201306,201411
129815173,201309,201411
129815173,201311,201411
129815173,201401,201411
129815173,201403,201411
129815173,201404,201411
129863535,201409,201505
129863535,200909,201301
129863535,201406,201409
129901709,201710,201711
129938177,190001,200903
129938177,200810,201003
129938177,201009,201009
129938177,201101,201101
129938177,201101,201111
129938177,201412,201501
129938177,201501,201508
129938177,201609,201711
129950067,201005,201005
129950067,201007,201007
129950067,201105,201105
129950067,201107,201108
129950067,201207,201208
129950067,201010,201209
129968411,201112,201204
129968411,201201,201302
129968411,201303,201404
129968411,201410,201503
129969231,201602,201603
130033995,201407,201407
130033995,201407,201503
130033995,201505,201509
130041281,201507,201601
130149369,200910,201106
130149369,200911,201403
130149369,201309,201403
130164559,200907,201011
130164559,201105,201712
130188129,200710,200803
130188129,200806,200810
130201701,190001,190001
130201701,201507,201606
130221677,201005,201012
130221677,201106,201111
130221677,201206,201301
130221677,201302,201310
130267155,201208,201211
130267155,201212,201305
130267155,201306,201311
130267155,201312,201408
130272375,199908,200001
130275751,201002,201409
130301533,190001,200909
130301533,200910,201108
130346785,201309,201602
130346785,201608,201703
130387587,201206,201212
130388839,201802,201802
130441035,200902,200903
130465689,200812,201403
130480437,200505,200505
130480437,200506,200508
130480437,200611,200707
130494937,200112,200202
130494937,200203,200208
130494937,200410,200411
130494937,201104,201109
130494937,201406,201503
130494937,201511,201601
130494937,201606,201709
130525095,201306,201310
130525095,201507,201610
130525095,201412,201609
130525273,200204,200305
130529763,200908,200908
130529763,200910,201105
130529763,201106,201302
130529763,201307,201308
130529763,201309,201502
130529763,201406,201502
130529763,201408,201502
130578721,200808,201308
130578721,200306,200306
130578721,200307,200307
130578721,200307,200404
130622645,201004,201612
130626619,200910,200910
130626619,200911,201004
130626619,201005,201010
130626619,201012,201103
130626619,201107,201110
130635141,201007,201211
130635367,200409,200409
130635367,200507,200509
130635367,200606,200607
130645495,200112,200904
130704811,200002,200103
130704811,200307,200308
130704811,200308,200308
130715165,201501,201501
130715165,201710,201803
130730737,201110,201210
130730737,201301,201312
130735565,200201,200308
130735565,201312,201312
130742381,201007,201209
130742381,201210,201410
130805039,201101,201106
130805039,201112,201201
130805039,201202,201202
130817391,200508,200602
130817391,200605,200701
130817391,200703,200703
130817391,200704,200711
130817391,200804,200804
130823181,200906,201304
130823251,200908,201109
130823251,201112,201401
130830901,200711,201806
130876397,201004,201305
130878013,201111,201201
130878013,201206,201309
130880345,200901,200904
130880345,200905,201105
130880345,201105,201112
130880345,201201,201702
130880345,201704,201709
130880345,201709,201711
130894945,200911,201003
130894945,201105,201502
130926911,200604,200606
130952283,199908,199908
130952283,200002,200009
130952283,200012,200201
130970601,201504,201611
130970601,201202,201204
130970601,201309,201504
131062785,201610,201701
131062785,201605,201609
131062785,201702,201710
131062785,201711,201805
131063881,200204,200212
131063881,200307,200310
131063881,200707,200809
131080515,201112,201204
131080515,201212,201301
131101143,201503,201709
131108969,201009,201210
131231355,200705,200707
131231355,200808,200808
131231355,200808,201201
131284115,201010,201110
131284115,201111,201308
131292765,201502,201702
131300873,200307,200307
131300873,200310,200404
131304867,201201,201509
131305945,201008,201103
131309031,200604,200612
131309031,200705,200709
131309031,201109,201110
131309031,201203,201311
131325561,200409,200510
131325561,201709,201801
131341429,201602,201602
131358119,201009,201009
131358119,201311,201409
131358119,201009,201009
131358119,201101,201101
131358119,201104,201108
131358119,201109,201311
131369897,200912,201011
131369897,201012,201112
131377211,201710,201711
131529033,200901,200904
131529033,201006,201007
131529033,201007,201009
131529033,201010,201011
131529033,201012,201103
131529033,201106,201202
131529033,201111,201301
131529033,201204,201301
131529033,201307,201308
131529033,201305,201402
131538349,201010,201409
131541963,201206,201208
131541963,201005,201208
131541963,201209,201211
131541963,201212,201303
131541963,201304,201311
131541963,201312,201412
131543271,201710,201710
131567117,201309,201503
131579719,201205,201207
131579719,201303,201303
131579719,201307,201310
131588555,201506,201606
131591609,201103,201204
131591609,200107,200107
131601209,201309,201506
131606399,201107,201107
131606399,201208,201303
131606399,201208,201309
131606399,201409,201504
131610139,201410,201508
131618751,201607,201609
131618751,201609,201609
131647063,201411,201505
131647063,201601,201706
131647063,201706,201804
131647063,200805,200805
131647063,200909,201004
131647063,201004,201208
131647063,201209,201309
131647063,201310,201408
131658405,200803,200803
131658405,200801,200812
131658405,200902,200912
131658405,201001,201012
131659657,201302,201410
131659657,201503,201509
131668773,201501,201506
131668773,201508,201601
131668773,201602,201711
131677187,201806,201807
131687729,200909,201001
131687729,201005,201104
131687729,201310,201606
131687729,201611,201712
131695243,201007,201008
131695243,200907,201205
131695607,200109,200203
131695607,200608,200907
131695607,201207,201306
131695607,201404,201411
131696889,200207,200209
131696889,200212,200301
131696889,200302,200508
131696889,201107,201107
131696889,201203,201208
131696889,201210,201211
131696889,201307,201307
131696889,201410,201609
131719445,201110,201112
131724835,201102,201103
131724835,201104,201407
131734837,200407,200408
131746245,201005,201010
131746245,201103,201107
131751915,201503,201602
131756281,201806,201810
131756281,201612,201704
131756281,201706,201710
131756281,201711,201804
131756455,200912,201005
131756455,201002,201005
131756455,201205,201305
131756455,201307,201512
131756455,201605,201611
131756455,201602,201611
131787641,201106,201306
131804695,201004,201007
131804695,201011,201104
131823421,201010,201101
131823421,201106,201310
131842425,200205,200206
131868343,200405,200605
131868343,201501,201507
131894199,200112,200202
131894199,200207,200207
131957171,201208,201405
131957171,201410,201701
131961463,201606,201609
131961467,200904,201402
131965445,201704,201805
132005629,201304,201306
132007503,201309,201401
132007503,201608,201707
132057515,199904,199910
132057515,200005,200007
132057515,200012,200104
132057515,200106,200109
132057515,200205,200210
132057515,200212,200303
132057515,200308,200404
132057515,200405,200412
132057515,201609,201610
132057515,201610,201701
132057515,201701,201707
132059781,200901,201011
132059781,201111,201203
132059781,201301,201302
132059781,201303,201312
132059781,201312,201312
132077745,200810,201512
132077745,201610,201708
132222171,201305,201409
132222171,201504,201510
132229363,201807,201808
132232787,199403,199501
132232787,199501,199610
132232787,199802,199805
132232787,200712,200909
132241329,200307,200401
132241329,200709,200907
132241329,200907,200908
132241329,200909,200909
132241329,200909,201012
132248427,201405,201412
